Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Marks Point,2280,491000,2016,6
Marlow,2775,600000,2016,6
Marmong Point,2284,491000,2016,6
Maroota,2756,1089000,2016,6
Maroubra,2035,1100000,2016,6
Maroubra Junction,,1100000,2016,6
Marrickville,2204,985000,2016,6
Marsden Park,2765,632000,2016,6
Marsfield,2122,1020000,2016,6
Marshall Mount,2530,595000,2016,6
Maryland,2287,491000,2016,6
Maryville,2293,491000,2016,6
Mascot,2020,861000,2016,6
Matcham,2250,600000,2016,6
Matraville,2036,1100000,2016,6
Mayfield,2304,491000,2016,6
Mayfield,2787,578000,2016,6
Mayfield East,2304,491000,2016,6
Mayfield North,2304,491000,2016,6
Mayfield West,2304,491000,2016,6
McCarrs Creek,,1391000,2016,6
Mcgraths Hill,2756,635000,2016,6
McMahons Point,2060,1050000,2016,6
Meadowbank,2114,1020000,2016,6
Medowie,,449000,2016,6
Megalong,2785,578000,2016,6
Mellong,,635000,2016,6
Melrose Park,2114,1020000,2016,6
Melville,2320,417000,2016,6
Menai,2234,900000,2016,6
Menangle,2568,680000,2016,6
Menangle Park,2563,545000,2016,6
Merewether,2291,491000,2016,6
Merewether Heights,2291,491000,2016,6
Merrylands,1855,708000,2016,6
Merrylands,2160,720000,2016,6
Merrylands West,2160,708000,2016,6
Metford,2323,417000,2016,6
Middle Camp,2281,491000,2016,6
Middle Cove,2068,1486000,2016,6
Middle Dural,2158,1089000,2016,6
Middleton Grange,2171,695000,2016,6
Miller,2168,695000,2016,6
Millers Point,2000,930000,2016,6
Millfield,2325,316000,2016,6
Milperra,2214,820000,2016,6
Milsons Point,2061,1050000,2016,6
Minchinbury,2770,632000,2016,6
Mindaribba,2320,417000,2016,6
Minmi,2287,491000,2016,6
Minnamurra,2533,688000,2016,6
Minto,2566,545000,2016,6
Minto Heights,2566,545000,2016,6
Miranda,2228,900000,2016,6
Mogo Creek,,635000,2016,6
Mona Vale,2103,1391000,2016,6
Monterey,2217,760000,2016,6
Mooney Mooney,,600000,2016,6
Mooney Mooney Creek,,600000,2016,6
Moore Park,2021,930000,2016,6
Moorebank,2170,695000,2016,6
Morisset,2264,471000,2016,6
Morning Bay,,1391000,2016,6
Morpeth,2321,417000,2016,6
Mortdale,2223,773000,2016,6
Mortlake,2137,1006000,2016,6
Mosman,2088,1490000,2016,6
Mount Annan,2567,700000,2016,6
Mount Dee,2320,417000,2016,6
Mount Druitt,2770,632000,2016,6
Mount Elliot,,600000,2016,6
Mount Irvine,2786,578000,2016,6
Mount Keira,2500,595000,2016,6
Mount Kembla,2526,595000,2016,6
Mount Lewis,2190,820000,2016,6
Mount Olive,2787,578000,2016,6
Mount Ousley,2519,595000,2016,6
Mount Pleasant,2519,595000,2016,6
Mount Saint Thomas,2500,595000,2016,6
Mount Tomah,2758,578000,2016,6
Mount Vernon,2178,589000,2016,6
Mount Victoria,2786,578000,2016,6
Mount Vincent,2323,417000,2016,6
Mount Werong,2787,578000,2016,6
Mount White,,600000,2016,6
Mount Wilson,2786,578000,2016,6
Mozart,2787,578000,2016,6
Mulgoa,2745,589000,2016,6
Mulgrav,2756,635000,2016,6
Murrays Beach,2281,491000,2016,6
Narara,2250,600000,2016,6
Narellan,2567,700000,2016,6
Narellan Vale,2567,700000,2016,6
Naremburn,2065,1486000,2016,6
Narraweena,2099,1035000,2016,6
Nattai River,2570,680000,2016,6
Neath,,316000,2016,6
Nelson,2765,1089000,2016,6
Nelson Bay,,449000,2016,6
Nelsons Plains,,449000,2016,6
Neutral Bay,2089,1050000,2016,6
New Lambton,2305,491000,2016,6
New Lambton Heights,2305,491000,2016,6
Newcastle,2300,491000,2016,6
Newcastle East,2300,491000,2016,6
Newcastle University,2308,491000,2016,6
Newcastle West,2302,491000,2016,6
Newington,2127,720000,2016,6
Newport,2106,1391000,2016,6
Niagara Park,,600000,2016,6
Norah Head,,480000,2016,6
Noraville,2263,480000,2016,6
Nords Wharf,2281,491000,2016,6
North Avoca,,600000,2016,6
North Balgowlah,,1035000,2016,6
North Curl Curl,,1035000,2016,6
North Gosford,,600000,2016,6
North Kellyville,2155,1089000,2016,6
North Lambton,2299,491000,2016,6
North Manly,,1035000,2016,6
North Narrabeen,2101,1391000,2016,6
North Parramatta,2151,720000,2016,6
North Richmond,2754,635000,2016,6
North Ryde,2113,1020000,2016,6
North St Ives,,1600000,2016,6
North St Marys,2760,589000,2016,6
North Strathfield,2137,1006000,2016,6
North Sydney,2060,1050000,2016,6
North Turramurra,2074,1600000,2016,6
North Wahroonga,2076,1600000,2016,6
North Willoughby,2068,1486000,2016,6
North Wollongong,2500,595000,2016,6
Northbridge,2063,1486000,2016,6
Northmead,2152,720000,2016,6
Northwood,,835000,2016,6
Norway,2787,578000,2016,6
Oakhampton,2320,417000,2016,6
Oakhampton Heights,2320,417000,2016,6
Oakhurst,2761,632000,2016,6
Oakville,2765,635000,2016,6
Oatlands,2117,720000,2016,6
Oberon,2787,578000,2016,6
Old Guildford,2161,700000,2016,6
Old Toongabbie,2146,720000,2016,6
One Mile,,449000,2016,6
One Tree Point,2211,820000,2016,6
Orchard Hills,2748,589000,2016,6
Osterley,,449000,2016,6
Oswald,2321,417000,2016,6
Otford,2508,595000,2016,6
Ourimbah,2258,480000,2016,6
Oxford Falls,,1035000,2016,6
Oxley Park,2760,589000,2016,6
Oyster Bay,2225,900000,2016,6
Padstow Heights,2211,820000,2016,6
Padstow,2211,820000,2016,6
Pagewood,2035,861000,2016,6
Palm Beach,,1391000,2016,6
Palm Grove,2258,480000,2016,6
Palmdale,2258,480000,2016,6
Panania,2213,820000,2016,6
Paradise Beach,,1391000,2016,6
Parklea,2768,632000,2016,6
Parramatta,2150,720000,2016,6
Patonga,2256,600000,2016,6
Paxton,,316000,2016,6
Peakhurst,2210,773000,2016,6
Peakhurst Heights,2210,773000,2016,6
Pearl Beach,,600000,2016,6
Peats Ridge,,600000,2016,6
Pelaw Main,2327,316000,2016,6
Pelican,2281,491000,2016,6
Pemulwuy,2145,708000,2016,6
Penrith,2750,589000,2016,6
Penrose,2530,595000,2016,6
Penshurst,2222,773000,2016,6
Perrys Crossing,,635000,2016,6
Petersham,,985000,2016,6
Pheasants Nest,2574,680000,2016,6
Phegans Bay,,600000,2016,6
Phillip Bay,2036,1100000,2016,6
Phoenix Park,2321,417000,2016,6
Picketts Valley,,600000,2016,6
Picnic Point,2213,820000,2016,6
Pinny Beach,2281,491000,2016,6
Pitnacree,2323,417000,2016,6
Pitt Town,2756,635000,2016,6
Pitt Town Bottoms,2756,635000,2016,6
Pleasure Point,2172,695000,2016,6
Plumpton,2761,632000,2016,6
Point Clare,,600000,2016,6
Point Frederick,,600000,2016,6
Point Piper,2027,1709000,2016,6
Pokolbin,2320,417000,2016,6
Port Botany,2036,1100000,2016,6
Port Hacking,2229,900000,2016,6
Port Kembla,2505,595000,2016,6
Port Stephens,,449000,2016,6
Porters Retreat,2787,578000,2016,6
Portland,2847,578000,2016,6
Potts Hill,2143,820000,2016,6
Potts Point,2011,930000,2016,6
Prairiewood,2176,700000,2016,6
Prestons,2170,695000,2016,6
Pretty Beach,,600000,2016,6
Primbee,2502,595000,2016,6
Punchbowl,2196,820000,2016,6
Putney,2112,1020000,2016,6
Putty,,635000,2016,6
Pymble,2073,1600000,2016,6
Pyrmont,2009,930000,2016,6
Quakers Hill,2763,632000,2016,6
Queens Park,2022,1200000,2016,6
Queenscliff,2096,1035000,2016,6
Raby,2566,545000,2016,6
Ramsgate,2217,760000,2016,6
Ramsgate Beach,2217,760000,2016,6
Randwick,2031,1100000,2016,6
Rankin Park,2287,491000,2016,6
Rathmines,2283,491000,2016,6
Ravensdale,2259,480000,2016,6
Raworth,2321,417000,2016,6
Raymond Terrace,,449000,2016,6
Redfern,2016,930000,2016,6
Regentville,2745,589000,2016,6
Reidtown,2519,595000,2016,6
Revesby,2212,820000,2016,6
Revesby Heights,2212,820000,2016,6
Rhodes,2138,1006000,2016,6
Richmond,2753,635000,2016,6
Richmond Lowlands,2753,635000,2016,6
Richmond Vale,2323,417000,2016,6
Riverview,,835000,2016,6
Rockdale,2216,760000,2016,6
Rocky Point,2259,480000,2016,6
Rodd Point,2046,1006000,2016,6
Rookwood,2141,708000,2016,6
Rooty Hill,2766,632000,2016,6
Ropes Crossing,2760,632000,2016,6
Rose Valley,,688000,2016,6
Rosebrook,2320,417000,2016,6
Rosehill,2142,720000,2016,6
Roselands,2196,700000,2016,6
Rosemeadow,2560,545000,2016,6
Roseville Chase,2069,1600000,2016,6
Rossmore,2557,695000,2016,6
Rothbury,2320,417000,2016,6
Rozelle,,1324000,2016,6
Ruse,2560,545000,2016,6
Rushcutters Bay,2011,930000,2016,6
Russell Lea,2046,1006000,2016,6
Russell Vale,2517,595000,2016,6
Rutherford,2320,417000,2016,6
Rydalmere,2116,720000,2016,6
Ryde,2112,1020000,2016,6
Ryhope,2283,491000,2016,6
Sackville,2756,635000,2016,6
Sackville North,2756,1089000,2016,6
Saddleback Mountain,,688000,2016,6
Sadleir,2168,695000,2016,6
Salamander Bay,,449000,2016,6
Salt Ash,,449000,2016,6
Salt Pan Cove,,1391000,2016,6
San Remo,2262,480000,2016,6
Sand Point,,1391000,2016,6
Sandgate,2304,491000,2016,6
Sandringham,2219,760000,2016,6
Sandy Point,,900000,2016,6
Sans Souci,2219,880000,2016,6
Saratoga,2251,600000,2016,6
Scarborough,2515,595000,2016,6
Scheyville,2756,635000,2016,6
Schofields,2762,632000,2016,6
Scotland Island,,1391000,2016,6
Scotts Hill,2570,680000,2016,6
Seaforth,2092,1673000,2016,6
Seaham,,449000,2016,6
Seahampton,2286,491000,2016,6
Sefton,2162,820000,2016,6
Seven Hills,2147,632000,2016,6
Shalvey,2770,632000,2016,6
Shanes Park,2747,632000,2016,6
Shelly Beach,2261,480000,2016,6
Shoal Bay,2315,491000,2016,6
Shooters Hill,2787,578000,2016,6
Shortland,2307,491000,2016,6
Silverdale,2752,680000,2016,6
Silverwater,2128,720000,2016,6
Smeaton Grange,2567,700000,2016,6
Soldiers Point,,449000,2016,6
Somersby,2250,600000,2016,6
South Coogee,2034,1100000,2016,6
South Granville,2142,708000,2016,6
South Hurstville,2221,880000,2016,6
South Maitland,2320,417000,2016,6
South Maroota,2756,1089000,2016,6
South Penrith,2750,589000,2016,6
South Turramurra,2074,1600000,2016,6
South Warriewood,,1391000,2016,6
South Wentworthville,2145,708000,2016,6
South Windsor,2756,635000,2016,6
Speers Point,2284,491000,2016,6
Spencer,2775,600000,2016,6
Spring Hill,2500,595000,2016,6
Springfield,2250,600000,2016,6
St Albans,2775,635000,2016,6
St Andrews,2566,545000,2016,6
St Clair,2759,589000,2016,6
St Helens Park,2560,545000,2016,6
St Huberts Island,,600000,2016,6
St Ives,2075,1600000,2016,6
St Ives Chase,2075,1600000,2016,6
St Johns Park,2176,700000,2016,6
St Peters,,985000,2016,6
Stanhope Gardens,2768,632000,2016,6
Stanmore,,985000,2016,6
Stanwell Park,2508,595000,2016,6
Stanwell Tops,2508,595000,2016,6
Stockton,2295,491000,2016,6
Stokes Point,,1391000,2016,6
Strathfield,2135,715000,2016,6
Strathfield South,2135,715000,2016,6
Summer Hill,2287,491000,2016,6
Summer Hill,2130,825000,2016,6
Summerland Point,,480000,2016,6
Surry Hills,2010,930000,2016,6
Sutherland,2232,900000,2016,6
Swan Bay,,449000,2016,6
Swansea Heads,2281,491000,2016,6
Sydenham,,985000,2016,6
Sydney,2000,930000,2016,6
Sydney Airport,,760000,2016,6
Sylvania,2224,900000,2016,6
Sylvania Waters,,900000,2016,6
Tacoma,2259,480000,2016,6
Tacoma South,2259,480000,2016,6
Tahmoor,2573,680000,2016,6
Tamarama,2026,1200000,2016,6
Tanilba Bay,,449000,2016,6
Tarana,2787,578000,2016,6
Taren Point,2229,900000,2016,6
Tarrawanna,2518,595000,2016,6
Tascott,2250,600000,2016,6
Taylors Beach,,449000,2016,6
Taylors Point,,1391000,2016,6
Telarah,2320,417000,2016,6
Telopea,2117,720000,2016,6
Tempe,,985000,2016,6
Ten Mile Hollow,,635000,2016,6
Tenambit,2323,417000,2016,6
Tennyson,2754,635000,2016,6
Tennyson Point,2111,1020000,2016,6
Teralba,2284,491000,2016,6
Terrey Hills,,1035000,2016,6
Terrigal,2260,600000,2016,6
The Basin,,1391000,2016,6
The Entrance,2261,480000,2016,6
The Entrance North,2261,480000,2016,6
The Hill,2300,491000,2016,6
The Junction,2291,491000,2016,6
The Meadows,2787,578000,2016,6
The Peaks,2787,680000,2016,6
The Ponds,2769,632000,2016,6
The Rocks,2000,930000,2016,6
The Slopes,2754,635000,2016,6
Thirlmere,2572,680000,2016,6
Thirroul,2515,595000,2016,6
Tighes Hill,2297,491000,2016,6
Tilligerry Creek,,449000,2016,6
Tingira Heights,2290,491000,2016,6
Tomago,,449000,2016,6
Toolijooa,2534,688000,2016,6
Toowoon Bay,,480000,2016,6
Top Ryde,2112,1020000,2016,6
Toukley,2263,480000,2016,6
Towlers Bay,,1391000,2016,6
Towradgi,2518,595000,2016,6
Tregear,2770,632000,2016,6
Tuggerah,2259,480000,2016,6
Tuggerawong,2259,480000,2016,6
Tumbi Umbi,,480000,2016,6
Tumbledown Dick,,1391000,2016,6
Turimetta,,1391000,2016,6
Turramurra,2074,1600000,2016,6
Turrella,2205,760000,2016,6
Ultimo,2007,930000,2016,6
Umina,2257,600000,2016,6
Unanderra,2526,595000,2016,6
University Of Wollongong,2522,595000,2016,6
Upper Colo,2756,635000,2016,6
Upper Kangaroo Valley,,688000,2016,6
Upper Macdonald,2775,635000,2016,6
Upper Mangrove,,600000,2016,6
Valentine,2280,491000,2016,6
Varroville,2566,545000,2016,6
Voyager Point,2172,695000,2016,6
Wadalba,2259,480000,2016,6
Wagstaffe,2257,600000,2016,6
Wahroonga,2076,1600000,2016,6
Wakeley,2176,700000,2016,6
Wallacia Heights,2745,680000,2016,6
Wallarah,2259,480000,2016,6
Wallerawang,2845,578000,2016,6
Wallsend,2287,491000,2016,6
Wallsend South,2287,491000,2016,6
Wamberal,2260,600000,2016,6
Warabrook,2304,491000,2016,6
Waratah,2298,491000,2016,6
Waratah West,2298,491000,2016,6
Wareemba,2046,1006000,2016,6
Warnervale,2259,480000,2016,6
Warragamba,2752,680000,2016,6
Warrawee,2074,1600000,2016,6
Warrawong,2502,595000,2016,6
Warriewood,2102,1391000,2016,6
Warriewood Beach,,1391000,2016,6
Warwick Farm,2170,695000,2016,6
Watanobbi,2259,480000,2016,6
Waterfall,2233,900000,2016,6
Waterloo,2017,930000,2016,6
Watsons Bay,2030,1709000,2016,6
Wattle Grove,2173,695000,2016,6
Waverley,2024,1200000,2016,6
Waverton,2060,1050000,2016,6
Webbs Creek,2775,635000,2016,6
Wedderburn,2560,545000,2016,6
Wendoree Park,,600000,2016,6
Wentworth Point,2127,720000,2016,6
Werombi Road,2570,680000,2016,6
Werri Beach,,688000,2016,6
Werrington,2747,589000,2016,6
Werrington County,2747,589000,2016,6
Werrington Downs,2747,589000,2016,6
West Gosford,,600000,2016,6
West Hoxton,2171,695000,2016,6
West Killara,,1600000,2016,6
West Lindfield,,1600000,2016,6
West Pennant Hills,2125,1089000,2016,6
West Pymble,2073,1600000,2016,6
West Ryde,2114,1020000,2016,6
West Wallsend,2286,491000,2016,6
West Wollongong,2500,595000,2016,6
Weston,2326,316000,2016,6
Wetherill Park,2164,700000,2016,6
Whalan,2770,632000,2016,6
Whale Beach,,1391000,2016,6
Wheeler Heights,,1035000,2016,6
Wheeny Creek,2758,578000,2016,6
Wheeny Creek,2765,635000,2016,6
Whitebridge,2290,491000,2016,6
Wickham,2293,491000,2016,6
Wilberforce,2756,635000,2016,6
Wiley Park,2195,700000,2016,6
Williamtown,,449000,2016,6
Willmot,2770,632000,2016,6
Willoughby,2068,1486000,2016,6
Willow Vale,,688000,2016,6
Windale,2306,491000,2016,6
Windang,2528,595000,2016,6
Windella,2320,417000,2016,6
Windsor,2756,635000,2016,6
Windsor Downs,2756,635000,2016,6
Wolli Creek,2205,760000,2016,6
Wollombi,2325,316000,2016,6
Wollongong,2500,595000,2016,6
Wollongong,2520,595000,2016,6
Wollongong West,2500,595000,2016,6
Wollstonecraft,2065,1050000,2016,6
Wombarra,2515,595000,2016,6
Womerah,,635000,2016,6
Wondabyne,2256,600000,2016,6
Wongawilli,2530,595000,2016,6
Woodbine,2560,545000,2016,6
Woodcroft,2767,632000,2016,6
Woodpark,2164,708000,2016,6
Woodrising,2284,491000,2016,6
Woollahra,2025,1709000,2016,6
Woolloomooloo,2011,930000,2016,6
Woolooware,2230,900000,2016,6
Woolwich,,1780000,2016,6
Woongarrah,2259,480000,2016,6
Woonona,2517,595000,2016,6
Woonona East,2517,595000,2016,6
Woronora,2232,900000,2016,6
Woronora Dam,2508,595000,2016,6
Woronora Heights,,900000,2016,6
Woy Woy,,600000,2016,6
Woy Woy Bay,,600000,2016,6
Wrights Creek,2775,635000,2016,6
Wyoming,2250,600000,2016,6
Wyong,2259,480000,2016,6
Wyong Creek,,480000,2016,6
Wyongah,2259,480000,2016,6
Yagoona,1927,820000,2016,6
Yagoona,2199,700000,2016,6
Yanderra,2574,680000,2016,6
Yarramalong,2259,480000,2016,6
Yarramundi,2753,635000,2016,6
Yarrawarrah,2233,900000,2016,6
Yattalunga,2251,600000,2016,6
Yerranderie,2787,680000,2016,6
Yowie Bay,2228,900000,2016,6
Zetland,2017,930000,2016,6
