Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Balmain East,,1324000,2016,6
Balmoral,2283,491000,2016,6
Balmoral,2571,578000,2016,6
Bangor,1836,900000,2016,6
Banksia,2216,760000,2016,6
Banksmeadow,,861000,2016,6
Bankstown,1795,820000,2016,6
Bankstown Aerodrome,,820000,2016,6
Bar Beach,2300,491000,2016,6
Bar Point,2083,600000,2016,6
Barangaroo,2000,930000,2016,6
Barden Ridge,2234,900000,2016,6
Bardwell Park,2207,760000,2016,6
Bardwell Valley,2207,760000,2016,6
Bargo,2574,680000,2016,6
Bargo River,2573,680000,2016,6
Barren Grounds,,688000,2016,6
Barrenjoey,,1391000,2016,6
Bass Hill,2197,820000,2016,6
Bateau Bay,,480000,2016,6
Bayview,2104,1391000,2016,6
Beacon Hill,,1035000,2016,6
Beaconsfield,2015,930000,2016,6
Beaumont Hills,2155,1089000,2016,6
Beecroft,2119,720000,2016,6
Belfield,2191,700000,2016,6
Bell,2786,578000,2016,6
Bella Vista,2153,1089000,2016,6
Bellambi,2518,595000,2016,6
Bellbird,2325,316000,2016,6
Bellevue Hill,2023,1709000,2016,6
Belmont North,2280,491000,2016,6
Belmont South,2280,491000,2016,6
Belmore,2192,700000,2016,6
Belrose,2085,1035000,2016,6
Bennetts Green,2290,491000,2016,6
Bensville,2251,600000,2016,6
Berala,2141,708000,2016,6
Berkeley,2506,595000,2016,6
Berkeley Vale,,480000,2016,6
Berkshire Park,2765,589000,2016,6
Berry Park,2321,417000,2016,6
Beverley Park,2217,880000,2016,6
Beverly Hills,2209,773000,2016,6
Bexley,2207,760000,2016,6
Bexley North,2207,760000,2016,6
Bidwill,2770,632000,2016,6
Bilgola Beach,,1391000,2016,6
Bilgola Plateau,2107,1391000,2016,6
Birchgrove,,1324000,2016,6
Birmingham Gardens,2287,491000,2016,6
Birrong,2143,820000,2016,6
Black Springs,2787,578000,2016,6
Blackalls Park,2283,491000,2016,6
Blackett,2770,632000,2016,6
Blackheath,2785,578000,2016,6
Blacksmiths,2281,491000,2016,6
Blacksmiths Beach,,471000,2016,6
Blacktown,1821,632000,2016,6
Blackwall,2256,600000,2016,6
Blair Athol,2560,545000,2016,6
Blairmount,2559,545000,2016,6
Blakehurst,2221,880000,2016,6
Bligh Park,2756,635000,2016,6
Blue Bay,,480000,2016,6
Blue Haven,,480000,2016,6
Boat Harbour,,449000,2016,6
Bobs Farm,,449000,2016,6
Bolton Point,2283,491000,2016,6
Bolwarra,2320,417000,2016,6
Bolwarra Heights,2320,417000,2016,6
Bombo,2533,688000,2016,6
Bondi,2026,1200000,2016,6
Bondi Beach,2026,1200000,2016,6
Bondi Junction,2022,1200000,2016,6
Bondi North,2026,1200000,2016,6
Bonnet Bay,2226,900000,2016,6
Bonnyrigg,2177,700000,2016,6
Bonnyrigg Heights,2177,700000,2016,6
Booker Bay,2257,600000,2016,6
Boolaroo,2284,491000,2016,6
Booragul,2284,491000,2016,6
