stop_id,stop_name,stop_lat,stop_lon,mode,STATE CODE
2943,39 Bronzewing Ave ,-41.38341818,147.1159576,train,TA
2913,Stop 11  No.20 George Town Rd,-41.39790675,147.1282785,train,TA
3724,2 Las Vegas Dr ,-41.4829322,147.1231805,train,TA
4385,Opposite 79 St Leonards Rd ,-41.44184318,147.1808756,train,TA
3656,96 Chris St ,-41.48415942,147.1328655,train,TA
3078,No.12 Waroona St ,-41.47672498,147.1677609,train,TA
3694,81 Panorama Rd ,-41.45479625,147.0809241,train,TA
2955,No.32 Lilydale Rd ,-41.37667599,147.1301179,train,TA
3563,46 Punchbowl Rd ,-41.4592818,147.1605861,train,TA
4254,No.3 Waveney St (Ainsley House) ,-41.459258,147.147839,train,TA
4100,Launceston Church Grammar School ,-41.40876702,147.1278048,train,TA
3473,144 Cambridge St ,-41.46065879,147.1304482,train,TA
14019:1,8 Drummond Cr ,-41.576025,147.16808,train,TA
3511,No.4 Lawson St ,-41.38864,147.133254,train,TA
2997,Stop 16  opp.No.172 Hobart Rd,-41.47160415,147.1625082,train,TA
3063,Ernest St near Blaydon St ,-41.47079188,147.1543199,train,TA
3337,31 Anderson Rd ,-41.43867048,147.1161994,train,TA
3277,33 Pitt Ave ,-41.43302863,147.107757,train,TA
3719,63 Mt Leslie Rd ,-41.47497568,147.1202884,train,TA
3197,10 Eldon St ,-41.43604675,147.191255,train,TA
3079,No.12 Woolven St ,-41.47612357,147.1666654,train,TA
4074,Opposite 24 Cleghorn Ave ,-41.41136165,147.1024991,train,TA
14016:1,BWS; Wellington St ,-41.588795,147.12007,train,TA
2977,No.130 Alanvale Rd ,-41.38704612,147.1158758,train,TA
2850,St John St ,-41.43782502,147.1392268,train,TA
2882,Stop 8  Invermay Rd,-41.4106496,147.1323498,train,TA
3287,22 Gray St ,-41.42725556,147.1010524,train,TA
3216,241 Vermont Rd ,-41.4127469,147.1587983,train,TA
3508,No.85 Hargrave Cres ,-41.385785,147.133092,train,TA
3237,4 Warring St ,-41.41735165,147.1747662,train,TA
3189,73 Tasman Hwy ,-41.43612346,147.1837371,train,TA
3978,No.95 Cormiston Rd ,-41.40362775,147.0850861,train,TA
4391,Opposite 38 Quarantine Rd ,-41.47310975,147.1689441,train,TA
3624,Normanstone Rd / Hobart Rd ,-41.45918838,147.1531915,train,TA
3104,93 Elphin Rd ,-41.43519731,147.1553734,train,TA
3169,113 St Leonards Rd ,-41.44604769,147.1849169,train,TA
3589,89A Normanstone Rd ,-41.46445395,147.1473233,train,TA
4066,No.11 Blaydon St ,-41.46897888,147.1591146,train,TA
14023:1,Clarence St / Arthur ,-41.568441,147.177297,train,TA
14114:1,Village Green  Wellington St In,-41.593365,147.121866,train,TA
3129,Charlton St near Boiton Hill Rd ,-41.46242207,147.1777468,train,TA
14072:1,Claude Rd / Wellington St ,-41.469257,146.217373,train,TA
4076,12 Farmer St ,-41.41166353,147.1048538,train,TA
3182,240 Penquite Rd ,-41.45790719,147.1799791,train,TA
3633,No.57 Norwood Rd ,-41.45848181,147.1737872,train,TA
3157,66 Station Rd ,-41.46208182,147.1943633,train,TA
14004:1,Cressy Rd; opp Green Rises Rd ,-41.67199,147.08335,train,TA
3540,5 Clarence St ,-41.43495915,147.149426,train,TA
3204,No.18 Tasman Hwy ,-41.43843508,147.1796648,train,TA
3364,187 Cambridge St ,-41.46315099,147.1340091,train,TA
3347,Opposite 133 Patterson St ,-41.44016562,147.1311171,train,TA
4524,No.38 Queechy Rd (School Stop) ,-41.449346,147.176565,train,TA
3547,2 Clarence St ,-41.43542545,147.1503711,train,TA
3009,67 Poplar Pde ,-41.48846386,147.1759766,train,TA
3580,Launceston General Hospital ,-41.445809,147.142738,train,TA
3100,29A Elphin Rd ,-41.43140473,147.148108,train,TA
2853,5 George Town Rd ,-41.39821734,147.1284655,train,TA
3328,No.17 Gorge Rd (Trevallyn Shops) ,-41.43560617,147.119057,train,TA
3282,School Stop Only - No.77 Cherry Rd ,-41.43133223,147.1085086,train,TA
3187,13 St Leonards Rd ,-41.43682162,147.1763715,train,TA
4323,Margaret St (School Stop) ,-41.44140181,147.1331778,train,TA
3592,167 Westbury Rd ,-41.46837846,147.1393315,train,TA
3533,Opposite 141 Abbott St ,-41.44692888,147.1572012,train,TA
3185,Hoblers Bridge Rd near Hart St ,-41.43915333,147.1674054,train,TA
3253,110 Wildor Cres ,-41.42098198,147.1672876,train,TA
3317,121 New World Ave ,-41.43697602,147.1049009,train,TA
3554,163 Abbott St ,-41.448704,147.1586,train,TA
3567,No.68 Talbot Rd ,-41.45427534,147.154604,train,TA
3705,24 Pitcher Pde ,-41.47606376,147.1027014,train,TA
3576,Launceston Aquatic Centre ,-41.4346228,147.1473495,train,TA
3566,No.92 Talbot Rd ,-41.45662687,147.1551203,train,TA
3581,Opposite 10 Mulgrave St ,-41.4474923,147.1450227,train,TA
3638,134 South Esk Dr ,-41.50130737,147.0720924,train,TA
3582,Opposite 40 Mulgrave St ,-41.44945285,147.1467353,train,TA
3535,126 Abbott St ,-41.44530364,147.155946,train,TA
4439,CITY TERMINUS E-F-H ,-41.43797103,147.1393574,train,TA
2934,Opposite 34-36 Reservoir Rd ,-41.37772058,147.1350562,train,TA
14253:1,Riverside High School ,-41.409526,147.097877,train,TA
3127,33 Charlton St ,-41.46626614,147.1776009,train,TA
14130:1,Hobart Rd ,-41.527996,147.187469,train,TA
3102,71 Elphin Rd ,-41.43368709,147.1526539,train,TA
3338,41 Fairthorne Rd ,-41.43929254,147.1150729,train,TA
3655,3 Burrows St ,-41.48319742,147.126764,train,TA
3704,12 Blackstone Rd ,-41.47016384,147.0883232,train,TA
3963,Stop 10  No.79 Forest Rd,-41.426462,147.113747,train,TA
3312,Opposite 4 Reatta Rd ,-41.43564407,147.1101018,train,TA
2973,No.59 Franmaree Rd ,-41.38285485,147.1170351,train,TA
3679,127 Tasman Hwy ,-41.43451581,147.1894948,train,TA
3053,No.34 Heather St ,-41.45662062,147.1385498,train,TA
4328,47 Cameron St ,-41.43514902,147.1387104,train,TA
3639,198 Poplar Pde ,-41.47838348,147.182778,train,TA
2986,Stop 6  No.301 Wellington St,-41.4520074,147.142789,train,TA
14032:1,Hobart Rd opp Dunnivan St ,-41.484219,147.1676,train,TA
3069,No.31 Waroona St ,-41.47841179,147.1686322,train,TA
3470,148 Peel St West ,-41.46561035,147.1327446,train,TA
2921,2 Mayne St ,-41.4194976,147.1345654,train,TA
3359,Opposite 2 Granville St ,-41.45068198,147.1292293,train,TA
3208,Hoblers Bridge Rd near Belhaven St ,-41.44033752,147.1653102,train,TA
4106,St Anthony's Primary School ,-41.40687696,147.0951441,train,TA
3436,Hadspen ,-41.51633855,147.0605066,train,TA
3989,Stop 16  No.322 West Tamar Hwy,-41.41243227,147.0999669,train,TA
3177,St Leonards / Station Rd ,-41.45982835,147.1984437,train,TA
2968,86 Holbrook St ,-41.4232773,147.1333316,train,TA
3339,Opposite 16 Fulford St ,-41.4384251,147.1124477,train,TA
3607,Country Club Tasmania ,-41.48473012,147.1074746,train,TA
3644,Opposite 81 Elizabeth St ,-41.44140194,147.1367261,train,TA
2984,211 Wellington St ,-41.44704186,147.1393079,train,TA
3050,Stop 7  No.15 Glen Dhu St,-41.45250152,147.1393128,train,TA
14112:1,PCYC  Marlborough St,-41.601329,147.119867,train,TA
3003,351A Hobart Rd ,-41.48421931,147.1676004,train,TA
3130,8 Boiton Hill Rd ,-41.46329422,147.1748759,train,TA
3107,Stop 8  No.161 Elphin Rd,-41.44098395,147.1604519,train,TA
2891,Stop 3  Invermay Rd,-41.42919263,147.1383722,train,TA
3534,50 Amy Rd ,-41.45050047,147.1607877,train,TA
4377,City Park ,-41.431459,147.144597,train,TA
14152:1,Margaret St before York ,-41.442176,147.133938,train,TA
2826,Westbury Rd (Marketplace) ,-41.4798407,147.1266189,train,TA
14017:1,Pateena Rd / cnr Illawarra Rd ,-41.576255,147.14083,train,TA
3230,19 Naroo St ,-41.432381,147.188545,train,TA
3710,34 Richard St ,-41.47819612,147.1199241,train,TA
3528,185 Punchbowl Rd ,-41.45001779,147.1630768,train,TA
3353,Stop B  St John Street,-41.43671218,147.1383587,train,TA
2928,Stop 32  No.22 Tompsons Ln,-41.38561909,147.125416,train,TA
14135,Launceston General Hospital ,-41.445752,147.142564,train,TA
3220,97 Wildor Cres ,-41.42048017,147.1667469,train,TA
