stop_id,stop_name,stop_lat,stop_lon,mode,STATE CODE
OOBUS104,Stuart Highway 104,-12.44303,130.8412,bus,NT
OOBUS105,Stuart Highway 105,-12.43902,130.84099,bus,NT
OOBUS106,Parap Road,-12.43546,130.84416,bus,NT
OOBUS107,Ross Smith Avenue,-12.4327,130.84952,bus,NT
OOBUS108,Ludmilla School,-12.42466,130.85601,bus,NT
OOBUS109,Bagot 109,-12.42038,130.85599,bus,NT
OOBUS110,Bagot 110 ,-12.4128,130.856,bus,NT
OOBUS112,Bagot 112 ,-12.39617,130.85592,bus,NT
OOBUS113,Bagot 113,-12.39138,130.85592,bus,NT
OOBUS114,Trower 114,-12.38748,130.85872,bus,NT
OOBUS115,Alawa Cres115,-12.38339,130.87144,bus,NT
OOBUS116,Trower 116,-12.38277,130.87498,bus,NT
OOBUS118,Vanderlin 118,-12.37666,130.88594,bus,NT
OOBUS119,Vanderlin 119,-12.37721,130.8896,bus,NT
OOBUS120,Hibiscus Shops,-12.37866,130.89625,bus,NT
OOBUS121,Patterson 121,-12.38921,130.9003,bus,NT
OOBUS122,Darwent 122,-12.39136,130.8994,bus,NT
OOBUS123,Darwent 123,-12.39552,130.90083,bus,NT
OOBUS124,Malak Shops,-12.39717,130.90399,bus,NT
OOBUS125,Chambers 125,-12.39774,130.90585,bus,NT
OOBUS126,Paqualin126,-12.39958,130.9083,bus,NT
OOBUS127,Koolinda 127,-12.39843,130.91052,bus,NT
OOBUS128,Karama 128,-12.39958,130.91214,bus,NT
OOBUS129,Karama 129,-12.40079,130.91447,bus,NT
OOBUS130,Karama Shops,-12.40173,130.91589,bus,NT
OOBUS131,Koolinda 131,-12.39924,130.91516,bus,NT
OOBUS132,Livistona 132,-12.39657,130.91341,bus,NT
OOBUS133,Calytrix 133,-12.39528,130.91087,bus,NT
OOBUS134,Mueller 134,-12.39347,130.90963,bus,NT
OOBUS135,Dalwood 135,-12.3918,130.9091,bus,NT
OOBUS136,Dalwood 136,-12.38915,130.90654,bus,NT
