stop_id,stop_name,stop_lat,stop_long,mode,state code
,Bondi Junction Grafton St Stairs,-33.89103017,151.2485965,train,NSW
,Bondi Junction Rowe St Ramp,-33.89186986,151.2483663,train,NSW
,Bondi Junction Grafton St Stairs,-33.89099409,151.2482086,train,NSW
,Booragul Fourth St Ramp,-32.97169903,151.605168,train,NSW
,Booragul Station St Ramp,-32.97190014,151.6047908,train,NSW
,Bowral Station St Path,-34.47792483,150.4169743,train,NSW
,Bowral Kirkham  Rd Path,-34.47763745,150.4167974,train,NSW
,Bowral Wingercarribee St Stairs,-34.47841685,150.4165949,train,NSW
,Bowral Wingercarribee St Lift,-34.47837068,150.4165765,train,NSW
,Bowral Wingercarribee St Lift,-34.47827715,150.4163947,train,NSW
,Bowral Kirkham  Rd Stairs,-34.47822202,150.4163793,train,NSW
,Branxton Railway St Ramp,-32.66221027,151.3459324,train,NSW
,Branxton Railway St Ramp,-32.66209242,151.3455358,train,NSW
,Broadmeadow Graham Rd Stairs,-32.92269277,151.7354129,train,NSW
,Broadmeadow Brown Rd Ramp,-32.92216413,151.7352213,train,NSW
,Broadmeadow Graham Rd Ramp,-32.92289153,151.7350658,train,NSW
,Broadmeadow Brown Rd Stairs,-32.92236891,151.7349462,train,NSW
,Bullaburra Great Western Hwy Ramp,-33.72351988,150.4152013,train,NSW
,Bullaburra Railway Pde Stairs,-33.72316759,150.4149891,train,NSW
,Bulli Park Rd Lift,-34.33384472,150.9150696,train,NSW
,Bulli Park Rd Lift,-34.3338201,150.9149316,train,NSW
,Bulli Franklin Ave Path,-34.33428666,150.9149143,train,NSW
,Bulli Railway St Path,-34.33433961,150.9146887,train,NSW
,Bundanoon Erith St Ramp,-34.6557524,150.2997407,train,NSW
,Bundanoon Church St Path,-34.65604988,150.2995728,train,NSW
,Burradoo Burradoo Rd Path,-34.49418601,150.3981296,train,NSW
,Burradoo Burradoo Rd Ramp,-34.49418573,150.3978582,train,NSW
,Burwood Burwood Rd Stairs,-33.87704552,151.1038525,train,NSW
