stop_id,stop_name,stop_lon,stop_lat,mode,STATE CODE
BS252,Wakefield St (1487),15429077.26,-4154194.925,bus,SA
BS253,Wakefield St (1487),15429028.86,-4154159.148,bus,SA
BS254,Wakefield St (1487),15429315.27,-4154140.436,bus,SA
BS255,Wakefield St (1487),15430062.04,-4154133.876,bus,SA
BS256,Wakefield St (1487),15429168.42,-4154151.298,bus,SA
BS257,West Tce Asc (1498),15427547.83,-4154179.948,bus,SA
BS258,Grote St (1260),15427594.52,-4154249.015,bus,SA
BS259,Grote St (1260),15427682.8,-4154283.156,bus,SA
BS260,Grote St (1260),15428040.03,-4154261.491,bus,SA
BS261,Grote St (1260),15427904.42,-4154230.156,bus,SA
BS262,Porters Ln (1651),15429483.27,-4153340.253,bus,SA
BS263,Pulteney St (1400),15429585.8,-4155019.706,bus,SA
BS264,Pulteney St (1400),15429559.82,-4154621.027,bus,SA
BS265,Pulteney St (1400),15429593,-4154615.324,bus,SA
BS266,Currie St Asc (1193),15428404.59,-4153651.741,bus,SA
BS267,Currie St Dsc (2016),15428317,-4153626.822,bus,SA
BS268,Currie St Dsc (2016),15428749.01,-4153600.67,bus,SA
BS269,Currie St Dsc (2016),15428706.54,-4153603.395,bus,SA
BS270,Park 27 - Bonython Park  -  Tulya Wardli (5278),15427933.85,-4153256.955,bus,SA
BS271,Park 27 - Bonython Park  -  Tulya Wardli (5278),15427580.65,-4153265.819,bus,SA
BS272,North Tce Dsc (1364),15427986.83,-4153294.895,bus,SA
BS273,North Tce Dsc (1364),15429793.98,-4153184.83,bus,SA
BS274,Grote St (1260),15428246.59,-4154245.607,bus,SA
BS275,Park 12 - Karrawirra (5125),15428970.7,-4153201.705,bus,SA
BS276,Park 12 - Karrawirra (5125),15429017.03,-4153198.907,bus,SA
BS277,North Tce Dsc (1364),15428943.32,-4153238.513,bus,SA
BS278,Frome Rd Asc (1233),15429753.28,-4153278.328,bus,SA
BS279,Ward St (1493),15428127.58,-4151599.692,bus,SA
BS280,Park 16 - Victoria Park (5161),15431477.74,-4154371.369,bus,SA
BS281,Park 16 - Victoria Park (5161),15431496.18,-4154436.636,bus,SA
BS282,Hill St (1272),15427425.53,-4151418.437,bus,SA
BS283,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS284,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS285,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS286,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS287,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS288,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS289,Frome Rd Asc (1233),15429092.75,-4151883.626,bus,SA
BS290,Z_Photoarchive (2),15426315.46,-4155169.209,bus,SA
BS291,Wakefield St (1487),15429725.79,-4154118.293,bus,SA
BS292,Grote St (1260),15428712.35,-4154215.692,bus,SA
BS293,Grote St (1260),15428451.7,-4154231.264,bus,SA
BS294,Currie St Asc (1193),15428775.01,-4153628.614,bus,SA
BS295,North Tce Dsc (1364),15429861.95,-4153139.823,bus,SA
BS296,Park 12 - Karrawirra (5125),15428818.6,-4152956.704,bus,SA
