stop_id,stop_name,stop_lat,stop_long,mode,state_code
22695,Albert St/Ballarat - Maryborough Rd (Miners Rest),-37.48104,143.80128,bus,VIC
22696,Miners Rest Tavern/Howe St (Miners Rest),-37.481058,143.801291,bus,VIC
22697,Learmonth General Store/Sunraysia Hwy (Learmonth),-37.420757,143.71378,bus,VIC
22698,Laidlaw St/Sunraysia Hwy (Learmonth),-37.420639,143.714079,bus,VIC
22699,Hall St/Sunraysia Hwy (Waubra),-37.358308,143.638175,bus,VIC
22700,Hall St/Sunraysia Hwy (Waubra),-37.357652,143.637583,bus,VIC
22703,Quire Rd/Buchan Rd (Buchan South),-37.544866,148.124491,bus,VIC
22704,Quire Rd/Buchan South Rd (Buchan South),-37.54613,148.125234,bus,VIC
22705,Lousadas Rd/Buchan - Buchan Rd (Buchan),-37.493699,148.173496,bus,VIC
22706,Buchan - Orbost Rd/Buchan Rd (Buchan),-37.49366,148.173823,bus,VIC
22707,Gormandale - Stradbroke Rd/Hyland Hwy (Gormandale),-38.293665,146.70049,bus,VIC
22854,Caravan Park/Baringhup Rd (Baringhup),-36.979465,143.97474,bus,VIC
22855,Tulloch Ard Rd/Gelantipy Rd (Gelantipy),-37.227423,148.263184,bus,VIC
22856,W Tree Co-op/Gelantipy Rd (W Tree),-37.358326,148.225381,bus,VIC
22857,Lake Bunga Beach Rd/Princes Hwy (Lake Bunga),-37.860856,148.02826,bus,VIC
22858,Lake Tyers Rd/Princes Hwy (Lake Tyers),-37.848044,148.040085,bus,VIC
22859,Carinya Lodge/Carinya Cres (Korumburra),-38.437994,145.811525,bus,VIC
22860,IGA Supermarket/1 South Railway Cres (Korumburra),-38.433733,145.825996,bus,VIC
22863,Nalder Dr/Werrill St (Swan Hill),-35.359955,143.557859,bus,VIC
22871,Tobin St/Montgomery St (Ararat),-37.294226,142.920301,bus,VIC
22872,Port Fairy Rd/Montgomery St (Ararat),-37.294525,142.924028,bus,VIC
22875,Vanstan St/High St St (Ararat),-37.285667,142.917652,bus,VIC
22876,Brewster Rd/High St (Ararat),-37.286108,142.915306,bus,VIC
22878,Mackay St/Henderson St (Ararat),-37.281895,142.915387,bus,VIC
22886,Mudgegonga Primary School/Myrtleford - Yackandandah Rd (Mudgegonga),-36.489154,146.839529,bus,VIC
22931,Cowie St/Old Melbourne Rd (Ballan),-37.600327,144.223183,bus,VIC
22932,Cowie St/Old Melbourne Rd (Ballan),-37.600086,144.222547,bus,VIC
22933,Dehnerts Rd/Ballan - Daylesford Rd (Bunding),-37.560251,144.191043,bus,VIC
22934,Spargo Creek Rd/Ballan - Daylesford Rd (Spargo Creek),-37.479788,144.150575,bus,VIC
22935,Brickhouse Rd/Ballan - Daylesford Rd (Korweinguboora),-37.445429,144.128937,bus,VIC
22936,Leonards Hill - South Bullarto Rd/Ballan - Daylesford Rd (Leonards Hill),-37.420948,144.115332,bus,VIC
22937,Telegraph Rd/Ballan - Daylesford Rd (Sailors Falls),-37.391729,144.120259,bus,VIC
22938,Ridge Rd/Ballan - Daylesford Rd (Musk Vale),-37.378287,144.12774,bus,VIC
22939,Fifth St/Hepburn Springs Rd (Hepburn Springs),-37.318485,144.138662,bus,VIC
22940,Hepburn - Newstead Rd/Hepburn Springs Rd (Hepburn),-37.31034,144.1387,bus,VIC
22941,Gordon Cemetery/Old Melbourne Rd (Gordon),-37.585062,144.113229,bus,VIC
22942,Gordon Cemetery/Old Melbourne Rd (Gordon),-37.584919,144.11328,bus,VIC
22943,Russell St/Main St (Gordon),-37.580869,144.104266,bus,VIC
22944,Russell St/Main St (Gordon),-37.580729,144.104452,bus,VIC
22945,Railway Crossing/Gordon - Meredith Rd (Gordon),-37.594469,144.101451,bus,VIC
22946,McIntoshs Lane/Gordon - Meredith Rd (Mount Egerton),-37.61569,144.10518,bus,VIC
22948,Mt Egerton General Store/Main Rd (Mount Egerton),-37.627864,144.104844,bus,VIC
22949,Oasis Village/Cobram - Koonoomoo Rd (Cobram),-35.916457,145.635859,bus,VIC
22952,McNamara Dr/Calder Hwy (Maiden Gully),-36.742811,144.208892,bus,VIC
22958,Lake Fyans Tourist Rd/Ararat - Pomonal Rd (Pomonal),-37.191683,142.609039,bus,VIC
22960,Spring Flat Rd/Hopkins Hwy (Bushfield),-38.342946,142.511765,bus,VIC
22963,Blacks Lane/Hopkins Hwy (Purnim),-38.279656,142.620809,bus,VIC
22964,Tomlinsons Lane/Hopkins Hwy (Ballangeich),-38.220722,142.657675,bus,VIC
22965,Ellerslie - Panmure Rd/Hopkins Hwy (Ellerslie),-38.149351,142.685128,bus,VIC
22976,Bendigo Bank/Maurice Ave (Mallacoota),-37.557577,149.757707,bus,VIC
22977,Township/Gipsy Point Rd (Gipsy Point),-37.480484,149.679224,bus,VIC
22978,McMillan St/George St (Hamilton),-37.74401,142.034726,bus,VIC
22980,RMIT Hamilton/200 Ballarat Rd (Hamilton),-37.743747,142.058637,bus,VIC
22981,Hamilton Base Hospital/Foster St (Hamilton),-37.737201,142.029581,bus,VIC
22982,Lonsdale St/McIntyre St (Hamilton),-37.744573,142.017599,bus,VIC
22983,McPhee St/Kenny St (Hamilton),-37.735655,142.007756,bus,VIC
22984,South West TAFE/Hammond St (Hamilton),-37.726859,142.006318,bus,VIC
22986,Kent Rd/Gordon St (Hamilton),-37.728153,142.019201,bus,VIC
22988,Garton St/Learmonth St (Hamilton),-37.737312,142.028383,bus,VIC
22989,Riddells Creek Rd/Melbourne Rd (Monegeetta),-37.412796,144.748986,bus,VIC
22994,Chemist/Federal St (Rainbow),-35.898088,141.993917,bus,VIC
22995,Woods St/Byrne St (Yaapeet),-35.769792,142.053019,bus,VIC
22996,Roy St/Dimboola - Rainbow Rd (Jeparit),-36.142373,141.988317,bus,VIC
22997,Tarranyurk West Rd/Dimboola - Rainbow Rd (Tarranyurk),-36.208948,142.034213,bus,VIC
22998,Antwerp Woorak Rd/Dimboola - Rainbow Rd (Antwerp),-36.297719,142.025463,bus,VIC
23030,Williamson St/Sunraysia Hwy (Lexton),-37.27477,143.514971,bus,VIC
23031,Williamson St/Sunraysia Hwy (Lexton),-37.274444,143.514603,bus,VIC
23034,Maroona General Store/Mortlake - Ararat Rd (Maroona),-37.440336,142.859375,bus,VIC
23143,VicRoads/Learmonth Rd (Wendouree),-37.535266,143.818752,bus,VIC
23144,Caravan St/Learmonth Rd (Wendouree),-37.530481,143.814735,bus,VIC
23145,Azalea Ave/Learmonth Rd (Wendouree),-37.527638,143.812232,bus,VIC
23146,Nursery Lane/Learmonth Rd (Mitchell Park),-37.521795,143.806723,bus,VIC
23147,Modestino Pl/Learmouth Rd (Mitchell Park),-37.514697,143.803779,bus,VIC
23148,McArthur Park Bvd/Howe St (Miners Rest),-37.502221,143.805567,bus,VIC
23149,Cummins Rd/Howe St (Miners Rest),-37.491659,143.805147,bus,VIC
23150,Miners Rest SC/Howe St (Miners Rest),-37.484073,143.802157,bus,VIC
23151,Victoria St/Albert St (Miners Rest),-37.479706,143.796306,bus,VIC
23152,Albert St/Giffard St (Miners Rest),-37.477887,143.791692,bus,VIC
23153,Miners Rest PS/Dundas St (Miners Rest),-37.478091,143.795211,bus,VIC
23154,Creswick St/Dundas Pl (Miners Rest),-37.478631,143.797177,bus,VIC
23155,Clarke St/Creswick St (Miners Rest),-37.477201,143.798957,bus,VIC
23156,Lyons St/Clarke St (Miners Rest),-37.476312,143.802714,bus,VIC
23157,Kennedys Rd/Raglan St (Miners Rest),-37.477221,143.806339,bus,VIC
23158,Sharpes Rd/Raglan St (Miners Rest),-37.481605,143.803506,bus,VIC
23159,Miners Rest SC/Raglan St (Miners Rest),-37.48376,143.802905,bus,VIC
23160,Cummins Rd/Howe St (Miners Rest),-37.491652,143.805226,bus,VIC
23161,McArthur Park Bvd/Howe St (Miners Rest),-37.502561,143.80579,bus,VIC
23162,Modestino Pl/Learmonth Rd (Mitchell Park),-37.514687,143.803757,bus,VIC
23163,Waltham Dr/Learmonth Rd (Mitchell Park),-37.520851,143.806129,bus,VIC
23164,Azalea Ave/Learmonth Rd (Wendouree),-37.527195,143.811843,bus,VIC
23165,Caravan St/Learmonth Rd (Wendouree),-37.531663,143.815794,bus,VIC
30373,Point Lonsdale Town Centre/Point Lonsdale Rd (Point Lonsdale),-38.286271,144.614556,bus,VIC
30374,Lonsdale St/Ocean Rd (Point Lonsdale),-38.289496,144.611421,bus,VIC
30375,Point Lonsdale SLSC/Ocean Rd (Point Lonsdale),-38.28815,144.6068,bus,VIC
30376,Gill Rd/Fellows Rd (Point Lonsdale),-38.28301,144.604843,bus,VIC
30377,Lonsdale Golf Club/Fellows Rd (Point Lonsdale),-38.279997,144.607342,bus,VIC
30378,Emily St/Fellows Rd (Point Lonsdale),-38.277277,144.609615,bus,VIC
30379,Pico Ave/Fellows Rd (Point Lonsdale),-38.273963,144.612376,bus,VIC
30380,Pico Ave/Fellows Rd (Point Lonsdale),-38.273399,144.613,bus,VIC
30384,Gheringhap St/Ryrie St (Geelong),-38.148396,144.356984,bus,VIC
30391,Geelong Station/Railway Tce (Geelong),-38.145014,144.355657,bus,VIC
30392,Geelong West Town Hall/Pakington St (Geelong West),-38.140904,144.348002,bus,VIC
30393,Lawton Ave/Pakington St (Geelong West),-38.139195,144.34852,bus,VIC
30394,Collins St/Pakington St (Geelong West),-38.137498,144.348821,bus,VIC
30395,Britannia St/Pakington St (Geelong West),-38.135616,144.349254,bus,VIC
