stop_id,stop_name,stop_lat,stop_lon,mode,state_code
19905,Hawthorn Railway Station (Hawthorn),-37.82182601,145.0228987,train,VIC
19906,Burnley Railway Station (Burnley),-37.82756022,145.0075551,train,VIC
19907,East Richmond Railway Station (Richmond),-37.82639995,144.9970657,train,VIC
19908,Richmond Railway Station (Richmond),-37.82407446,144.9901643,train,VIC
19909,Heyington Railway Station (Toorak),-37.83467244,145.0226353,train,VIC
19910,Kooyong Railway Station (Kooyong),-37.83992894,145.0335516,train,VIC
19911,Tooronga Railway Station (Malvern),-37.84936553,145.0417337,train,VIC
19912,Gardiner Railway Station (Glen Iris),-37.85327908,145.0516547,train,VIC
19913,Springvale Railway Station (Springvale),-37.94950878,145.1534518,train,VIC
19914,Westall Railway Station (Clayton South),-37.93849121,145.1388326,train,VIC
19915,Clayton Railway Station (Clayton),-37.92468255,145.1205344,train,VIC
19916,Huntingdale Railway Station (Oakleigh),-37.91101734,145.1023643,train,VIC
19917,Oakleigh Railway Station (Oakleigh),-37.90037214,145.0883079,train,VIC
19918,Hughesdale (Temporarily Closed) Railway Station (Hughesdale),-37.89488129,145.0776351,train,VIC
19919,Murrumbeena Railway Station (Murrumbeena),-37.89019832,145.0673749,train,VIC
19920,Carnegie Railway Station (Carnegie),-37.88624148,145.0585751,train,VIC
19921,Werribee Railway Station (Werribee),-37.89937805,144.661118,train,VIC
19922,Hoppers Crossing Railway Station (Hoppers Crossing),-37.88327618,144.7009549,train,VIC
19923,Laverton Railway Station (Laverton),-37.86369404,144.7726167,train,VIC
19924,Aircraft Railway Station (Laverton),-37.86660595,144.7608094,train,VIC
19925,Westona Railway Station (Altona),-37.86516348,144.8134936,train,VIC
19926,Altona Railway Station (Altona),-37.8671476,144.8296447,train,VIC
19927,Seaholme Railway Station (Seaholme),-37.86784231,144.8409577,train,VIC
19928,Westgarth Railway Station (Northcote),-37.7806207,144.9992332,train,VIC
19929,Dennis Railway Station (Northcote),-37.77918729,145.0082416,train,VIC
19930,Fairfield Railway Station (Fairfield),-37.77917126,145.0169053,train,VIC
19931,Alphington Railway Station (Alphington),-37.77839363,145.0312549,train,VIC
19932,Darebin Railway Station (Ivanhoe),-37.77496341,145.038476,train,VIC
19933,Ivanhoe Railway Station (Ivanhoe),-37.76889674,145.0454252,train,VIC
19934,Eaglemont Railway Station (Eaglemont),-37.76358553,145.0539427,train,VIC
19935,Heidelberg Railway Station (Heidelberg),-37.75707293,145.0606855,train,VIC
19936,Rosanna (Temporarily Closed) Railway Station (Rosanna),-37.7428786,145.0661403,train,VIC
19937,Moorabbin Railway Station (Moorabbin),-37.93435329,145.0367383,train,VIC
19938,Patterson Railway Station (Bentleigh),-37.92514919,145.03547,train,VIC
19939,Bentleigh Railway Station (Bentleigh),-37.91742457,145.0369951,train,VIC
19940,McKinnon Railway Station (Mckinnon),-37.91030903,145.038299,train,VIC
19941,Ormond Railway Station (Ormond),-37.90321167,145.0396134,train,VIC
19942,Glenhuntly Railway Station (Glen Huntly),-37.88971946,145.0422229,train,VIC
19943,Caulfield Railway Station (Caulfield East),-37.87745946,145.0425248,train,VIC
19944,Malvern Railway Station (Malvern),-37.8662533,145.0292939,train,VIC
19945,Armadale Railway Station (Armadale),-37.85645238,145.0193255,train,VIC
19946,Toorak Railway Station (Armadale),-37.85077381,145.0139086,train,VIC
19947,Hawksburn Railway Station (South Yarra),-37.84459087,145.0021421,train,VIC
19948,Sandringham Railway Station (Sandringham),-37.95033018,145.0045614,train,VIC
19949,Hampton Railway Station (Hampton),-37.93797681,145.0014706,train,VIC
19950,Brighton Beach Railway Station (Brighton),-37.92648432,144.9891536,train,VIC
19951,Middle Brighton Railway Station (Brighton),-37.91513441,144.9962991,train,VIC
19952,North Brighton Railway Station (Brighton),-37.90488721,145.002605,train,VIC
19953,Gardenvale Railway Station (Brighton),-37.89669508,145.0041684,train,VIC
19954,Elsternwick Railway Station (Elsternwick),-37.88475311,145.0008979,train,VIC
19955,Ripponlea Railway Station (Ripponlea),-37.87590643,144.9952366,train,VIC
19956,Balaclava Railway Station (Balaclava),-37.86948773,144.9935121,train,VIC
19957,Windsor Railway Station (Windsor),-37.85605308,144.9920352,train,VIC
19958,Prahran Railway Station (Prahran),-37.84951848,144.9898599,train,VIC
19959,South Yarra Railway Station (South Yarra),-37.83844935,144.9923422,train,VIC
19960,Upfield Railway Station (Coolaroo),-37.66607779,144.9467399,train,VIC
19961,Gowrie Railway Station (Glenroy),-37.700678,144.9588743,train,VIC
19962,Fawkner Railway Station (Fawkner),-37.71462129,144.960545,train,VIC
19963,Merlynston Railway Station (Coburg North),-37.72093389,144.9613135,train,VIC
19964,Batman Railway Station (Coburg North),-37.73352285,144.9628406,train,VIC
19965,Coburg Railway Station (Coburg),-37.74234502,144.9633363,train,VIC
19966,Moreland Railway Station (Coburg),-37.75448484,144.961823,train,VIC
19967,Anstey Railway Station (Brunswick),-37.76124203,144.960684,train,VIC
19968,Brunswick Railway Station (Brunswick),-37.76772055,144.9595865,train,VIC
19969,Jewell Railway Station (Brunswick),-37.77498702,144.9587169,train,VIC
19970,Royal Park Railway Station (Parkville),-37.78119293,144.9523013,train,VIC
19971,Flemington Bridge Railway Station (North Melbourne),-37.78813995,144.9393233,train,VIC
19972,Macaulay Railway Station (North Melbourne),-37.79426673,144.9361663,train,VIC
19973,North Melbourne Railway Station (West Melbourne),-37.80630984,144.9415102,train,VIC
19974,Clifton Hill Railway Station (Clifton Hill),-37.78865745,144.9954167,train,VIC
19975,Victoria Park Railway Station (Abbotsford),-37.79915782,144.9944514,train,VIC
19976,Collingwood Railway Station (Abbotsford),-37.80452593,144.9937497,train,VIC
19977,North Richmond Railway Station (Richmond),-37.81039836,144.9925003,train,VIC
19978,West Richmond Railway Station (Richmond),-37.81494896,144.9914228,train,VIC
19979,Jolimont-MCG Railway Station (East Melbourne),-37.81652702,144.9840983,train,VIC
19983,Macleod Railway Station (Macleod),-37.7260123,145.0691433,train,VIC
19984,Watsonia Railway Station (Watsonia),-37.71095798,145.0837934,train,VIC
19985,Greensborough Railway Station (Greensborough),-37.70395408,145.1082474,train,VIC
19986,Montmorency Railway Station (Montmorency),-37.71529624,145.1215157,train,VIC
19987,Eltham Railway Station (Eltham),-37.71354967,145.147822,train,VIC
19988,Diamond Creek Railway Station (Diamond Creek),-37.67329744,145.1585062,train,VIC
19989,Wattle Glen Railway Station (Wattle Glen),-37.66396792,145.1816145,train,VIC
19990,Hurstbridge Railway Station (Hurstbridge),-37.63939817,145.1920169,train,VIC
19991,Williamstown Railway Station (Williamstown),-37.86775292,144.9053233,train,VIC
19992,Williamstown Beach Railway Station (Williamstown),-37.86398189,144.8944837,train,VIC
19993,North Williamstown Railway Station (Williamstown),-37.85733348,144.8890695,train,VIC
19994,Newport Railway Station (Newport),-37.84271757,144.8835999,train,VIC
19995,Spotswood Railway Station (Spotswood),-37.83063888,144.8859335,train,VIC
19996,Yarraville Railway Station (Yarraville),-37.81585044,144.8899337,train,VIC
19997,Seddon Railway Station (Seddon),-37.80900514,144.8956716,train,VIC
20000,Watergardens Railway Station (Sydenham),-37.70112872,144.7741805,train,VIC
20001,Keilor Plains Railway Station (St Albans),-37.72927934,144.7937381,train,VIC
20002,St Albans Railway Station (St Albans),-37.74486131,144.8000505,train,VIC
20003,Ginifer Railway Station (St Albans),-37.75751083,144.8095734,train,VIC
20004,Albion Railway Station (Sunshine North),-37.77765281,144.8247036,train,VIC
20005,Epping Railway Station (Epping),-37.65238715,145.0301217,train,VIC
20006,Lalor Railway Station (Lalor),-37.66585075,145.0171932,train,VIC
20007,Thomastown Railway Station (Thomastown),-37.68033809,145.0142789,train,VIC
20008,Keon Park Railway Station (Thomastown),-37.69487012,145.0118838,train,VIC
20009,Ruthven Railway Station (Reservoir),-37.70789754,145.0095166,train,VIC
20010,Reservoir Railway Station (Reservoir),-37.71688492,145.0069958,train,VIC
20011,Regent Railway Station (Reservoir),-37.72840277,145.0027726,train,VIC
20012,Preston Railway Station (Preston),-37.73867424,145.000522,train,VIC
20013,Bell Railway Station (Preston),-37.74556212,145.000155,train,VIC
20014,Thornbury Railway Station (Thornbury),-37.75505179,144.9985715,train,VIC
20015,Croxton Railway Station (Northcote),-37.764101,144.9970562,train,VIC
20016,Northcote Railway Station (Northcote),-37.76986537,144.9952772,train,VIC
20017,Merri Railway Station (Northcote),-37.77784668,144.9929725,train,VIC
20019,Rushall Railway Station (Fitzroy North),-37.78321711,144.9924071,train,VIC
20021,Sunshine Railway Station (Sunshine),-37.78853633,144.8328782,train,VIC
20022,Tottenham Railway Station (West Footscray),-37.7992509,144.8629449,train,VIC
20023,West Footscray Railway Station (West Footscray),-37.8018087,144.8853248,train,VIC
20024,Middle Footscray Railway Station (Footscray),-37.8025047,144.8914721,train,VIC
20025,Footscray Railway Station (Footscray),-37.80108298,144.9031992,train,VIC
20026,South Kensington Railway Station (Kensington),-37.79953087,144.925469,train,VIC
20028,Showgrounds Railway Station (Flemington),-37.7834722,144.9142569,train,VIC
20030,Broadmeadows Railway Station (Broadmeadows),-37.68304926,144.9196132,train,VIC
20031,Jacana Railway Station (Glenroy),-37.69513079,144.9158505,train,VIC
20032,Glenroy Railway Station (Glenroy),-37.70453633,144.9172204,train,VIC
20033,Oak Park Railway Station (Oak Park),-37.71794973,144.9215188,train,VIC
20034,Pascoe Vale Railway Station (Pascoe Vale),-37.73075596,144.9281956,train,VIC
20035,Strathmore Railway Station (Strathmore),-37.74359132,144.9273157,train,VIC
20036,Glenbervie Railway Station (Essendon),-37.74720985,144.9209387,train,VIC
20037,Essendon Railway Station (Essendon),-37.7560117,144.9161975,train,VIC
20038,Moonee Ponds Railway Station (Moonee Ponds),-37.76570666,144.9191607,train,VIC
20039,Ascot Vale Railway Station (Ascot Vale),-37.77530609,144.9218207,train,VIC
20040,Newmarket Railway Station (Flemington),-37.78732767,144.9289785,train,VIC
20041,Kensington Railway Station (Kensington),-37.79378022,144.9305244,train,VIC
20042,Box Hill Railway Station (Box Hill),-37.81922165,145.1214289,train,VIC
22180,Southern Cross Railway Station (Melbourne City),-37.81793643,144.9514112,train,VIC
40220,Roxburgh Park Railway Station (Roxburgh Park),-37.63823121,144.9354037,train,VIC
40221,Craigieburn Railway Station (Craigieburn),-37.6018169,144.9433203,train,VIC
44817,Coolaroo Railway Station (Coolaroo),-37.66100253,144.9260556,train,VIC
45793,Lynbrook Railway Station (Lynbrook),-38.05734118,145.2492751,train,VIC
45794,Cardinia Road Railway Station (Pakenham),-38.07129047,145.437791,train,VIC
45795,South Morang Railway Station (South Morang),-37.6491588,145.0670324,train,VIC
46468,Williams Landing Railway Station (Williams Landing),-37.86986533,144.7474447,train,VIC
52095,Southland Railway Station (Cheltenham),-37.95875571,145.0491209,train,VIC
17204,Wallan Railway Station (Wallan),-37.416861,145.0053723,train,VIC
19980,Melton Railway Station (Melton South),-37.70329335,144.5725241,train,VIC
19981,Rockbank Railway Station (Rockbank),-37.72926127,144.6506315,train,VIC
19982,Deer Park Railway Station (Deer Park),-37.77776375,144.7723036,train,VIC
19998,Sunbury Railway Station (Sunbury),-37.57920639,144.7281645,train,VIC
20020,Ardeer Railway Station (Ardeer),-37.78306529,144.8021881,train,VIC
20029,Craigieburn Railway Station (Craigieburn),-37.6019248,144.943306,train,VIC
20043,Southern Cross Railway Station (Melbourne City),-37.81833429,144.9525249,train,VIC
20287,Albury Railway Station (Albury (NSW)),-36.08426161,146.9245154,train,VIC
20288,Ararat Railway Station (Ararat),-37.28220485,142.9369137,train,VIC
20289,Avenel Railway Station (Avenel),-36.89364778,145.229515,train,VIC
20290,Bacchus Marsh Railway Station (Maddingley),-37.68757821,144.4367852,train,VIC
20291,Bairnsdale Railway Station (Bairnsdale),-37.82872043,147.6276138,train,VIC
20292,Ballan Railway Station (Ballan),-37.60429951,144.225448,train,VIC
20293,Ballarat Railway Station (Ballarat Central),-37.55879148,143.8594574,train,VIC
20294,Beaufort Railway Station (Beaufort),-37.42787497,143.3822337,train,VIC
20295,Benalla Railway Station (Benalla),-36.54455031,145.9839151,train,VIC
20296,Bendigo Railway Station (Bendigo),-36.76566973,144.2830089,train,VIC
20297,Birregurra Railway Station (Birregurra),-38.32880781,143.7836252,train,VIC
20298,Broadford Railway Station (Broadford),-37.20720049,145.0430079,train,VIC
20299,Bunyip Railway Station (Bunyip),-38.09910771,145.7207575,train,VIC
20300,Camperdown Railway Station (Camperdown),-38.22890091,143.1509278,train,VIC
20301,Castlemaine Railway Station (Castlemaine),-37.06283745,144.213799,train,VIC
20302,Chiltern Railway Station (Chiltern),-36.15563663,146.6113748,train,VIC
20303,Clarkefield Railway Station (Clarkefield),-37.48349769,144.7453726,train,VIC
20304,Colac Railway Station (Colac),-38.34337792,143.5866531,train,VIC
20305,Corio Railway Station (Corio),-38.07283126,144.3797684,train,VIC
20306,Dingee Railway Station (Dingee),-36.36923291,144.2311203,train,VIC
20307,Donnybrook Railway Station (Donnybrook),-37.54258952,144.9698601,train,VIC
20308,Drouin Railway Station (Drouin),-38.1364519,145.8559469,train,VIC
20309,Eaglehawk Railway Station (Eaglehawk),-36.71852539,144.2483799,train,VIC
20310,Echuca Railway Station (Echuca),-36.13098223,144.7534587,train,VIC
20311,Elmore Railway Station (Elmore),-36.49502002,144.6077575,train,VIC
20312,Euroa Railway Station (Euroa),-36.74914593,145.5678643,train,VIC
20313,Garfield Railway Station (Garfield),-38.09103062,145.6742247,train,VIC
20314,Geelong Railway Station (Geelong),-38.14424211,144.3549891,train,VIC
20315,Gisborne Railway Station (New Gisborne),-37.4588255,144.5987216,train,VIC
20316,Heathcote Junction Railway Station (Heathcote Junction),-37.3677344,145.0263105,train,VIC
20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.79483364,144.2489902,train,VIC
20318,Kerang Railway Station (Kerang),-35.73312162,143.9244251,train,VIC
20319,Kilmore East Railway Station (Kilmore East),-37.29321027,144.983566,train,VIC
20320,Kyneton Railway Station (Kyneton),-37.25827885,144.4506016,train,VIC
20321,Lara Railway Station (Lara),-38.02242764,144.4144043,train,VIC
20323,Little River Railway Station (Little River),-37.96292909,144.4984849,train,VIC
20324,Longwarry Railway Station (Longwarry),-38.11099211,145.7668603,train,VIC
20325,Macedon Railway Station (Macedon),-37.42357331,144.5613969,train,VIC
20326,Malmsbury Railway Station (Malmsbury),-37.18974032,144.3753232,train,VIC
20327,Marshall Railway Station (Marshall),-38.198549,144.3550567,train,VIC
20328,Moe Railway Station (Moe),-38.17671464,146.2626972,train,VIC
20329,Mooroopna Railway Station (Mooroopna),-36.39912828,145.3582148,train,VIC
20330,Morwell Railway Station (Morwell),-38.23671876,146.396753,train,VIC
20331,Murchison East Railway Station (Murchison East),-36.61314794,145.2406356,train,VIC
20332,Nagambie Railway Station (Nagambie),-36.7854641,145.1603567,train,VIC
20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.08159155,145.5716657,train,VIC
20334,North Geelong Railway Station (North Geelong),-38.12283523,144.3522719,train,VIC
20335,North Shore Railway Station (North Shore),-38.09837714,144.3653214,train,VIC
20336,Pyramid Railway Station (Pyramid Hill),-36.05311274,144.1131327,train,VIC
20337,Riddells Creek Railway Station (Riddells Creek),-37.46512379,144.6798307,train,VIC
