stop_id,stop_name,stop_lat,stop_lon,mode,state_code
,Whitworth Street - 57 ,-27.467476,153.020072,bus,VIC
306553,Ann Street - 4 ,-27.466533,153.018427,bus,VIC
306551,"Bellbowrie Chase"""""""" Kangaroo Gully Road ",-27.466361,153.017761,bus,VIC
306636,"Bellbowrie Chase"""""""" Kangaroo gully Road ",-27.474254,153.026861,bus,VIC
306552,Muir Street - 61 ,-27.466288,153.017988,bus,VIC
306554,McPherson Malia - 55 ,-27.46638,153.018346,bus,VIC
,Ballow Street - Zone A ,-27.466398,153.017905,bus,VIC
,"Rees Way"""""""" Rafting Ground Road ",-27.466208,153.017677,bus,VIC
,"Rafting Ground West"""""""" Rafting Ground Road ",-27.46633,153.017638,bus,VIC
,Bridge Street - 5 ,-27.469034,153.024575,bus,VIC
307254,East Street - 6 ,-27.468056,153.021935,bus,VIC
,Chester Street - 7 ,-27.463388,153.020845,bus,VIC
,Brookes Street - 6/10 ,-27.464585,153.021068,bus,VIC
306505,Brookes Street - 10 ,-27.465352,153.022451,bus,VIC
306506,James Street - 6 ,-27.465598,153.02333,bus,VIC
306522,Bridge Street - 5 ,-27.46439,153.024786,bus,VIC
,McConnell Street ,-27.467967,153.018722,bus,VIC
,Whitworth Street - 57 ,-27.465793,153.024537,bus,VIC
,Amy Street - 21C ,-27.467849,153.022901,bus,VIC
,Ballow Street - Zone C ,-27.471367,153.023856,bus,VIC
306501,Ballow Street - Zone B ,-27.464571,153.025,bus,VIC
306618,Pine Mountain Road @ Gretna Street ,-27.466432,153.0252,bus,VIC
306617,Health ,-27.46875,153.027433,bus,VIC
306616,Kemp Place Holding Stand ,-27.468874,153.027554,bus,VIC
306615,Constance Street - 6/10 ,-27.469333,153.028002,bus,VIC
306614,HAMILTON / NARTHANYA ,-27.470346,153.028991,bus,VIC
306613,Caxton Street - 4 ,-27.471158,153.029782,bus,VIC
,Caxton Street - 4 ,-27.472165,153.030655,bus,VIC
306602,"Paddington"""""""" Given Terrace ",-27.467314,153.028827,bus,VIC
307520,"Paddington"""""""" Given Terrace ",-27.466622,153.028153,bus,VIC
,Paddo Tavern - 6 ,-27.46661,153.030089,bus,VIC
,Paddo Tavern - 6 ,-27.466255,153.030186,bus,VIC
306609,Great George - 7 ,-27.466965,153.030137,bus,VIC
306610,Great George - 7 ,-27.46919,153.030305,bus,VIC
306611,Enoggera Terrace - 10 ,-27.468972,153.030123,bus,VIC
306518,Enoggera Terrace - 10 ,-27.464472,153.028981,bus,VIC
306516,Old Paddo Post Office - 8 ,-27.464278,153.027881,bus,VIC
306517,Old Paddo Post Office - 8 ,-27.464418,153.027851,bus,VIC
306515,Old Ithaca Fire Station - 9 ,-27.464235,153.028052,bus,VIC
,Enoggera Terrace - 12 ,-27.464313,153.028296,bus,VIC
,Enoggera Terrace - 12 ,-27.464352,153.029049,bus,VIC
